task,model,split_strategy,seed,training_seconds,inference_seconds,runtime_seconds,test_sample_count,data_provenance
soc,ridge,held_out_cell,11,0.002459900002577342,0.00010320000001229346,0.0025631000025896356,600,synthetic data generated inside this project
soc,random_forest,held_out_cell,11,1.7413792999977886,0.004874899997957982,1.7462541999957466,600,synthetic data generated inside this project
soc,hist_gradient_boosting,held_out_cell,11,1.4375037000027078,0.0067916999978479,1.4442954000005557,600,synthetic data generated inside this project
soc,mlp,held_out_cell,11,0.1582406000015908,0.000362000002496643,0.15860260000408744,600,synthetic data generated inside this project
soc,narx,held_out_cell,11,0.3933140999979514,1.0521447000028274,1.4454588000007789,600,synthetic data generated inside this project
soc,temporal_cnn,held_out_cell,11,2.450500800001464,0.0018519999975978862,2.452352799999062,480,synthetic data generated inside this project
soc,gru,held_out_cell,11,2.631490900002973,0.003762000000278931,2.635252900003252,480,synthetic data generated inside this project
soc,coulomb_counting,held_out_cell,11,0.0,0.026463700000022072,0.026463700000022072,600,synthetic data generated inside this project
soc,ocv_lookup,held_out_cell,11,0.0,9.659999705036171e-05,9.659999705036171e-05,600,synthetic data generated inside this project
soc,ekf,held_out_cell,11,0.0,0.036106999999901745,0.036106999999901745,600,synthetic data generated inside this project
soc,ridge,held_out_cell,42,0.0015172000021266285,0.00014430000010179356,0.001661500002228422,600,synthetic data generated inside this project
soc,random_forest,held_out_cell,42,1.8042423999977473,0.00472539999827859,1.8089677999960259,600,synthetic data generated inside this project
soc,hist_gradient_boosting,held_out_cell,42,1.9763166000011552,0.043108999998366926,2.019425599999522,600,synthetic data generated inside this project
soc,mlp,held_out_cell,42,0.5616607000010845,0.00037629999860655516,0.562036999999691,600,synthetic data generated inside this project
soc,narx,held_out_cell,42,1.016438200000266,1.0369234999998298,2.053361700000096,600,synthetic data generated inside this project
soc,temporal_cnn,held_out_cell,42,0.7415341999985685,0.0008588999990024604,0.742393099997571,480,synthetic data generated inside this project
soc,gru,held_out_cell,42,2.0643846999992093,0.002927000001363922,2.067311700000573,480,synthetic data generated inside this project
soc,coulomb_counting,held_out_cell,42,0.0,0.028960499999811873,0.028960499999811873,600,synthetic data generated inside this project
soc,ocv_lookup,held_out_cell,42,0.0,7.349999941652641e-05,7.349999941652641e-05,600,synthetic data generated inside this project
soc,ekf,held_out_cell,42,0.0,0.038115399998787325,0.038115399998787325,600,synthetic data generated inside this project
soc,ridge,held_out_cell,73,0.0011354999987815972,0.00011530000119819306,0.0012507999999797903,600,synthetic data generated inside this project
soc,random_forest,held_out_cell,73,1.7445881999992707,0.00552600000082748,1.7501142000000982,600,synthetic data generated inside this project
soc,hist_gradient_boosting,held_out_cell,73,1.0166696999986016,0.011342099998728372,1.02801179999733,600,synthetic data generated inside this project
soc,mlp,held_out_cell,73,0.21222900000066147,0.0012798999996448401,0.2135089000003063,600,synthetic data generated inside this project
soc,narx,held_out_cell,73,0.3989655000004859,0.9871104000012565,1.3860759000017424,600,synthetic data generated inside this project
soc,temporal_cnn,held_out_cell,73,1.8736381999988225,0.0009285999985877424,1.8745667999974103,480,synthetic data generated inside this project
soc,gru,held_out_cell,73,2.300926400002936,0.003829999997833511,2.3047564000007696,480,synthetic data generated inside this project
soc,coulomb_counting,held_out_cell,73,0.0,0.0462587000001804,0.0462587000001804,600,synthetic data generated inside this project
soc,ocv_lookup,held_out_cell,73,0.0,0.00011069999891333282,0.00011069999891333282,600,synthetic data generated inside this project
soc,ekf,held_out_cell,73,0.0,0.04590660000030766,0.04590660000030766,600,synthetic data generated inside this project
soc,ridge,chronological,11,0.0010949000024993438,0.00011670000094454736,0.0012116000034438912,720,synthetic data generated inside this project
soc,random_forest,chronological,11,1.5826228000005358,0.005856100000528386,1.5884789000010642,720,synthetic data generated inside this project
soc,hist_gradient_boosting,chronological,11,0.9743024999988847,0.004175300000497373,0.9784777999993821,720,synthetic data generated inside this project
soc,mlp,chronological,11,0.17324029999872437,0.00033429999893996865,0.17357459999766434,720,synthetic data generated inside this project
soc,narx,chronological,11,0.35673400000086986,1.3984794999996666,1.7552135000005364,720,synthetic data generated inside this project
soc,temporal_cnn,chronological,11,0.678200199999992,0.0012532999971881509,0.6794534999971802,576,synthetic data generated inside this project
