rmse,mae,r2,max_absolute_error,mean_bias,mape,task,model,seed,test_sample_count,training_seconds,inference_seconds,runtime_seconds,data_provenance,split_strategy,hyperparameters
0.0025441367591841463,0.0020128205770986174,0.9850737419967698,0.004290459776222,0.0008241997103255683,0.20869367657184085,soh,ridge,11,10,0.0008189999971364159,7.390000246232376e-05,0.0008928999995987397,synthetic data generated inside this project,held_out_cell,{}
0.0019384209888668803,0.0016914087301588166,0.9913350463184125,0.0034846329365082473,-0.00010411706349214845,0.17424410310213073,soh,random_forest,11,10,0.060662400002911454,0.002924099997471785,0.06358650000038324,synthetic data generated inside this project,held_out_cell,"{""max_depth"": 10, ""min_samples_leaf"": 2, ""n_estimators"": 60}"
0.010290560438145037,0.008217907795556301,0.7557986313410657,0.01861254981967453,0.0009966695275057558,0.8488220765559005,soh,hist_gradient_boosting,11,10,0.1822892000018328,0.00579210000068997,0.18808130000252277,synthetic data generated inside this project,held_out_cell,{}
0.09627023164637566,0.0684117478993005,-20.372438297834343,0.2027956799748929,-0.022011747899300504,7.148373444115981,soh,mlp,11,10,0.12189899999793852,0.000311100000544684,0.1222100999984832,synthetic data generated inside this project,held_out_cell,"{""alpha"": 0.0005, ""hidden_layer_sizes"": [32], ""max_iter"": 250}"
0.0025441367591841463,0.0020128205770986174,0.9850737419967698,0.004290459776222,0.0008241997103255683,0.20869367657184085,soh,ridge,42,10,0.001762399999279296,9.480000153416768e-05,0.0018572000008134637,synthetic data generated inside this project,held_out_cell,{}
0.0016854402105454518,0.001394011739417944,0.9934491638016537,0.003543105158730464,-0.00026972701719581995,0.14336687955156419,soh,random_forest,42,10,0.06425830000080168,0.0024460000022372697,0.06670430000303895,synthetic data generated inside this project,held_out_cell,"{""max_depth"": 10, ""min_samples_leaf"": 2, ""n_estimators"": 60}"
0.010290560438145037,0.008217907795556301,0.7557986313410657,0.01861254981967453,0.0009966695275057558,0.8488220765559005,soh,hist_gradient_boosting,42,10,0.16741170000022976,0.011017100001481595,0.17842880000171135,synthetic data generated inside this project,held_out_cell,{}
0.09243107299302444,0.07194143171763259,-18.701805509208935,0.18384774233400658,-0.046335162485606596,7.369652491950819,soh,mlp,42,10,0.04910250000102678,0.00028369999927235767,0.04938620000029914,synthetic data generated inside this project,held_out_cell,"{""alpha"": 0.0005, ""hidden_layer_sizes"": [32], ""max_iter"": 250}"
0.0025441367591841463,0.0020128205770986174,0.9850737419967698,0.004290459776222,0.0008241997103255683,0.20869367657184085,soh,ridge,73,10,0.0006814000007580034,0.00010069999916595407,0.0007820999999239575,synthetic data generated inside this project,held_out_cell,{}
0.0019370563330210493,0.0017778427579364208,0.9913472423454399,0.003315863095237459,9.409970238098975e-05,0.18415406080771943,soh,random_forest,73,10,0.05945799999972223,0.002255299998068949,0.06171329999779118,synthetic data generated inside this project,held_out_cell,"{""max_depth"": 10, ""min_samples_leaf"": 2, ""n_estimators"": 60}"
0.010290560438145037,0.008217907795556301,0.7557986313410657,0.01861254981967453,0.0009966695275057558,0.8488220765559005,soh,hist_gradient_boosting,73,10,0.14601810000021942,0.011208099997020327,0.15722619999723975,synthetic data generated inside this project,held_out_cell,{}
0.06758977111141302,0.0494581999283632,-9.534938138909835,0.1498840551087114,-0.029359603959805258,5.13510587452198,soh,mlp,73,10,0.06772020000062184,0.00024980000307550654,0.06797000000369735,synthetic data generated inside this project,held_out_cell,"{""alpha"": 0.0005, ""hidden_layer_sizes"": [32], ""max_iter"": 250}"
0.01085526504819456,0.009476966868246903,0.09884345056794652,0.018455392008407512,0.0002783887559199098,1.0076069928208036,soh,ridge,11,12,0.0006947000001673587,6.420000136131421e-05,0.0007589000015286729,synthetic data generated inside this project,chronological,{}
0.02947178287032725,0.02724508680555564,-5.642509702830869,0.04734369543650807,0.02724508680555564,2.908459297320175,soh,random_forest,11,12,0.042562000002362765,0.002080400001432281,0.044642400003795046,synthetic data generated inside this project,chronological,"{""max_depth"": 10, ""min_samples_leaf"": 2, ""n_estimators"": 60}"
0.042805656387328174,0.04125000000000011,-13.012696041822348,0.061562500000000075,0.04125000000000011,4.396433890806026,soh,hist_gradient_boosting,11,12,0.036104599999816855,0.00268800000048941,0.038792600000306265,synthetic data generated inside this project,chronological,{}
0.18761014137289042,0.1423046742912247,-268.17331373755735,0.3899849817329768,-0.062096340957891356,15.1128803201471,soh,mlp,11,12,0.019646799999463838,0.00018080000154441223,0.01982760000100825,synthetic data generated inside this project,chronological,"{""alpha"": 0.0005, ""hidden_layer_sizes"": [32], ""max_iter"": 250}"
0.01085526504819456,0.009476966868246903,0.09884345056794652,0.018455392008407512,0.0002783887559199098,1.0076069928208036,soh,ridge,42,12,0.0005691999976988882,6.719999873894267e-05,0.0006363999964378309,synthetic data generated inside this project,chronological,{}
