rmse,mae,r2,max_absolute_error,mean_bias,mape,task,model,seed,test_sample_count,training_seconds,inference_seconds,runtime_seconds,final_cycle_drift,cold_sample_count,cold_mae,hot_sample_count,hot_mae,soc_0.0_0.2_sample_count,soc_0.0_0.2_mae,soc_0.2_0.8_sample_count,soc_0.2_0.8_mae,soc_0.8_1.0_sample_count,soc_0.8_1.0_mae,data_provenance,split_strategy,hyperparameters,scenario
0.005062967290776549,0.004167244635603959,0.9773740173673593,0.015008948409506617,-0.0007877112453819744,0.6780286404161953,soc,ridge,11,600,0.0008300000008603092,8.819999857223593e-05,0.0009181999994325452,-0.0018031935983393588,137,0.0024847578515289604,274,0.005156608074397714,0,0.0,600,0.004167244635603959,0,0.0,synthetic data generated inside this project,held_out_cell,{},nominal
0.023988818209329844,0.018663753261828026,0.4920570782320425,0.0739431362080295,0.004799971427438571,3.026385117935913,soc,random_forest,11,600,1.4974414999996952,0.002894599998398917,1.5003360999980941,0.0187879472716439,137,0.022995727335287992,274,0.01737578882222444,0,0.0,600,0.018663753261828026,0,0.0,synthetic data generated inside this project,held_out_cell,"{""max_depth"": 10, ""min_samples_leaf"": 2, ""n_estimators"": 60}",nominal
0.019766548275312944,0.015229026713740277,0.655127249239494,0.05982990693230761,0.005800187782729766,2.494738603602739,soc,hist_gradient_boosting,11,600,0.38549739999871235,0.002843499998562038,0.3883408999972744,0.02182970950036467,137,0.017561737513321955,274,0.014127381764630341,0,0.0,600,0.015229026713740277,0,0.0,synthetic data generated inside this project,held_out_cell,{},nominal
0.0561396071577067,0.03953685931647702,-1.7818643227014257,0.46027121921001346,0.003006801911827437,6.447126169493954,soc,mlp,11,600,0.12663509999765665,0.00022779999926569872,0.12686289999692235,0.011618868167675434,137,0.045828056706659334,274,0.039771342665692044,0,0.0,600,0.03953685931647702,0,0.0,synthetic data generated inside this project,held_out_cell,"{""alpha"": 0.0005, ""hidden_layer_sizes"": [32], ""max_iter"": 250}",nominal
0.01308402133765243,0.010223712136178599,0.8488947013463026,0.05617991761089425,0.0004721415272713068,1.6752247835442828,soc,narx,11,600,0.25850569999965956,0.6798091000018758,0.9383148000015353,-0.010024909909675861,137,0.011954359910970963,274,0.009357954046869616,0,0.0,600,0.010223712136178599,0,0.0,synthetic data generated inside this project,held_out_cell,"{""feedback_delays"": 3, ""hidden_layers"": [24, 12], ""input_delays"": 4, ""max_iter"": 180}",nominal
0.028638274169927962,0.022274343241049783,0.09235315628598739,0.08870802577409576,-0.006893380743928187,3.642555067711547,soc,temporal_cnn,11,480,0.530613999999332,0.00064580000253045,0.5312598000018625,-0.018240728966122943,110,0.02315617236473252,226,0.01724700858992797,0,0.0,480,0.022274343241049783,0,0.0,synthetic data generated inside this project,held_out_cell,"{""channels"": 12}",nominal
0.01850806690997058,0.014846808244495762,0.6209073724573084,0.05505957206331413,0.003241017199886409,2.4312546424468664,soc,gru,11,480,1.3403657999988354,0.002419100001134211,1.3427848999999696,-0.009614208332425433,110,0.014287038257330374,226,0.013263389837841802,0,0.0,480,0.014846808244495762,0,0.0,synthetic data generated inside this project,held_out_cell,"{""hidden_size"": 12}",nominal
0.12393026797180993,0.11235735695498517,-12.55663751112344,0.18666071874998247,-0.11235735695498517,18.26676588343947,soc,coulomb_counting,11,600,0.0,0.021537500000704313,0.021537500000704313,-0.17925510406023343,137,0.09405565262752583,274,0.12180363492674835,0,0.0,600,0.11235735695498517,0,0.0,synthetic data generated inside this project,held_out_cell,{},nominal
0.022938700484546305,0.018718126849992776,0.5355544269625496,0.05841753831593954,-0.01743491648383508,3.095151251409001,soc,ocv_lookup,11,600,0.0,5.9699999837903306e-05,5.9699999837903306e-05,-0.011609774172105292,137,0.033303381480696274,274,0.009357334082415633,0,0.0,600,0.018718126849992776,0,0.0,synthetic data generated inside this project,held_out_cell,{},nominal
0.021879884349916175,0.017876608219822298,0.5774411028390154,0.046733737333303105,-0.017557182133159224,2.9634151125683714,soc,ekf,11,600,0.0,0.028846699999121483,0.028846699999121483,-0.012148560330628277,137,0.03368345046815321,274,0.007724939514809797,0,0.0,600,0.017876608219822298,0,0.0,synthetic data generated inside this project,held_out_cell,{},nominal
0.005062967290776549,0.004167244635603959,0.9773740173673593,0.015008948409506617,-0.0007877112453819744,0.6780286404161953,soc,ridge,42,600,0.0008119999984046444,0.00011589999849093147,0.0009278999968955759,-0.0018031935983393588,137,0.0024847578515289604,274,0.005156608074397714,0,0.0,600,0.004167244635603959,0,0.0,synthetic data generated inside this project,held_out_cell,{},nominal
0.022473803007996954,0.017961954792560846,0.5541894459358254,0.06851077172710551,0.005222643158096659,2.920772646296465,soc,random_forest,42,600,1.5412676999985706,0.003993599999375874,1.5452612999979465,0.015533698935141116,137,0.021581167067601804,274,0.016744304938081708,0,0.0,600,0.017961954792560846,0,0.0,synthetic data generated inside this project,held_out_cell,"{""max_depth"": 10, ""min_samples_leaf"": 2, ""n_estimators"": 60}",nominal
0.019766548275312944,0.015229026713740277,0.655127249239494,0.05982990693230761,0.005800187782729766,2.494738603602739,soc,hist_gradient_boosting,42,600,0.4548145000007935,0.005312600002071122,0.4601271000028646,0.02182970950036467,137,0.017561737513321955,274,0.014127381764630341,0,0.0,600,0.015229026713740277,0,0.0,synthetic data generated inside this project,held_out_cell,{},nominal
0.05580635139181559,0.04193129034753973,-1.7489349621198365,0.2519263937468309,-0.004799184208867801,6.899543952802991,soc,mlp,42,600,0.21842019999894546,0.000267100000201026,0.2186872999991465,0.09204718638736353,137,0.04769259469570804,274,0.039538813852380485,0,0.0,600,0.04193129034753973,0,0.0,synthetic data generated inside this project,held_out_cell,"{""alpha"": 0.0005, ""hidden_layer_sizes"": [32], ""max_iter"": 250}",nominal
0.011256953364815673,0.009054743570983067,0.8881492398513648,0.05623044598254795,-0.0014009523551895852,1.47836367239913,soc,narx,42,600,0.2778935999995156,0.6901209999996354,0.968014599999151,-0.007749271038094974,137,0.008690444250742418,274,0.007870966716917598,0,0.0,600,0.009054743570983067,0,0.0,synthetic data generated inside this project,held_out_cell,"{""feedback_delays"": 3, ""hidden_layers"": [24, 12], ""input_delays"": 4, ""max_iter"": 180}",nominal
0.036910317682723265,0.02916133898874395,-0.5077133594058614,0.11853564577523401,0.0031641439719324984,4.784615411030986,soc,temporal_cnn,42,480,0.5202876000003016,0.0007366999998339452,0.5210243000001356,-0.028039732567197162,110,0.03195512683267419,226,0.027700705345879477,0,0.0,480,0.02916133898874395,0,0.0,synthetic data generated inside this project,held_out_cell,"{""channels"": 12}",nominal
0.01837864641513834,0.01451285211284371,0.6261905625020852,0.06209593078340536,-0.0003848770138297798,2.368208992793287,soc,gru,42,480,1.340879600000335,0.0031583999989379663,1.3440379999992729,-0.03482679425848134,110,0.015625338710609008,226,0.014856697849305508,0,0.0,480,0.01451285211284371,0,0.0,synthetic data generated inside this project,held_out_cell,"{""hidden_size"": 12}",nominal
