rmse,mae,r2,max_absolute_error,mean_bias,mape,task,model,seed,training_seconds,inference_seconds,runtime_seconds,final_cycle_drift,cold_sample_count,cold_mae,hot_sample_count,hot_mae,soc_0.0_0.2_sample_count,soc_0.0_0.2_mae,soc_0.2_0.8_sample_count,soc_0.2_0.8_mae,soc_0.8_1.0_sample_count,soc_0.8_1.0_mae,data_provenance,split_strategy,scenario
0.01064270388528227,0.008990121727927285,0.6949559412219792,0.030456192506567947,-0.0023291038101165337,1.3871259502108353,soc,ridge,42,0.0007125000011001248,7.759999789413996e-05,0.0007900999989942648,-0.02038721487201378,46,0.013107563893058106,105,0.007279554463966953,0,0.0,216,0.008990121727927285,0,0.0,synthetic data generated inside this project,held_out_cell,nominal
0.12309089352749669,0.11284419151666769,-39.80472560282255,0.1881753181377791,0.03134989447507898,17.367336240967063,soc,random_forest,42,0.12232080000103451,0.0017582999971637037,0.12407909999819822,-0.04670959056658419,46,0.07596708963483037,105,0.13612347450067178,0,0.0,216,0.11284419151666769,0,0.0,synthetic data generated inside this project,held_out_cell,nominal
0.11667077648431465,0.10621336065765773,-35.65918365782142,0.1768027708202764,0.030980223466027176,16.350740294250006,soc,hist_gradient_boosting,42,0.21825109999917913,0.0022788000023865607,0.2205299000015657,-0.04382510840984588,46,0.06261727102586305,105,0.12815323947497168,0,0.0,216,0.10621336065765773,0,0.0,synthetic data generated inside this project,held_out_cell,nominal
0.10636688906165565,0.08225488043162367,-29.469935029737577,0.4303157373182901,0.008175151014762199,12.71478512960581,soc,mlp,42,0.09562690000166185,0.00015519999942625873,0.09578210000108811,0.14782754105885298,46,0.08316907008701048,105,0.07828995612136257,0,0.0,216,0.08225488043162367,0,0.0,synthetic data generated inside this project,held_out_cell,nominal
0.029381755610483267,0.02567645360520366,-1.3249525688483836,0.06756071808624942,-0.02487518615828717,3.9697173324120705,soc,narx,42,0.04117480000059004,0.10337129999970784,0.14454610000029788,-0.00581754346816965,46,0.016921023282038202,105,0.0252538067275533,0,0.0,216,0.02567645360520366,0,0.0,synthetic data generated inside this project,held_out_cell,nominal
0.15019094565242874,0.1473773416580497,-59.74997683928664,0.19044538683050966,-0.1473773416580497,22.792453688281874,soc,coulomb_counting,42,0.0,0.009435300002223812,0.009435300002223812,-0.16514070550563548,46,0.15760410218423662,105,0.14603104312791218,0,0.0,216,0.1473773416580497,0,0.0,synthetic data generated inside this project,held_out_cell,nominal
0.025463078083424462,0.019725247695372865,-0.7461454507470344,0.06948878573068473,-0.016859890011769126,3.0762926447224266,soc,ocv_lookup,42,0.0,6.890000076964498e-05,6.890000076964498e-05,-0.06776776892151892,46,0.04325328500181339,105,0.00938978053965057,0,0.0,216,0.019725247695372865,0,0.0,synthetic data generated inside this project,held_out_cell,nominal
0.02386025074722352,0.018040641660480753,-0.5332346303865569,0.05403491847433417,-0.016760583318908947,2.8170554634737566,soc,ekf,42,0.0,0.00977450000209501,0.00977450000209501,-0.05321582768557698,46,0.04279608405666883,105,0.006863966642228713,0,0.0,216,0.018040641660480753,0,0.0,synthetic data generated inside this project,held_out_cell,nominal
0.01728790375568794,0.014061788587692362,0.19509748318798215,0.05484686210263623,-0.0016291593299302568,2.1707038989016594,soc,ridge,42,0.0006600000015168916,7.120000009308569e-05,0.0007312000016099773,-0.02853139005754446,46,0.01671321488926721,105,0.012110931887076333,0,0.0,216,0.014061788587692362,0,0.0,synthetic data generated inside this project,held_out_cell,increased_sensor_noise
0.12913040796607486,0.11762417831384878,-43.90716712729746,0.19589880708288498,0.03270573711118347,18.102613640209956,soc,random_forest,42,0.1278941999989911,0.00208329999804846,0.12997749999703956,-0.04538269982542431,46,0.08180531884064558,105,0.13908232792647382,0,0.0,216,0.11762417831384878,0,0.0,synthetic data generated inside this project,held_out_cell,increased_sensor_noise
0.11332188860540514,0.10154571500793043,-33.584875828907215,0.18592227023981323,0.022351579424316786,15.605343865784201,soc,hist_gradient_boosting,42,0.2175405000016326,0.0025335999998787884,0.2200741000015114,-0.038030907968145566,46,0.06583965879491484,105,0.1288125310981704,0,0.0,216,0.10154571500793043,0,0.0,synthetic data generated inside this project,held_out_cell,increased_sensor_noise
0.11808440458088347,0.0927094552457266,-36.55291907277889,0.3416744597742338,0.00353991417009862,14.319790820613443,soc,mlp,42,0.06433380000089528,0.00022259999968810007,0.06455640000058338,0.14436339259078512,46,0.0930950854535869,105,0.09276355269286958,0,0.0,216,0.0927094552457266,0,0.0,synthetic data generated inside this project,held_out_cell,increased_sensor_noise
0.023808407434933832,0.019354689014277424,-0.5265790753149293,0.07047544047944998,-0.015119199588857081,2.9994713982905594,soc,narx,42,0.0500177000030817,0.102093599998625,0.1521113000017067,-0.01852854416417704,46,0.018210849279268113,105,0.01697444147410409,0,0.0,216,0.019354689014277424,0,0.0,synthetic data generated inside this project,held_out_cell,increased_sensor_noise
0.15020643782489282,0.14738327737877033,-59.762510186806196,0.19058479474917278,-0.14738327737877033,22.793437648290535,soc,coulomb_counting,42,0.0,0.009591900001396425,0.009591900001396425,-0.16524025187921693,46,0.15762521248837522,105,0.14602080755620006,0,0.0,216,0.14738327737877033,0,0.0,synthetic data generated inside this project,held_out_cell,increased_sensor_noise
0.035942598701915164,0.02853254383752511,-2.4791853121119276,0.10769746666835822,-0.01745575826784526,4.431768752993362,soc,ocv_lookup,42,0.0,6.310000026132911e-05,6.310000026132911e-05,-0.09967515288962436,46,0.04473915658998862,105,0.022551544182902183,0,0.0,216,0.02853254383752511,0,0.0,synthetic data generated inside this project,held_out_cell,increased_sensor_noise
0.02664523663005871,0.020778090960700015,-0.9120435334964525,0.06511685453426586,-0.017544030317924217,3.2418250585215533,soc,ekf,42,0.0,0.010930899999948451,0.010930899999948451,-0.05947434137403096,46,0.043294616306455785,105,0.010124424517889386,0,0.0,216,0.020778090960700015,0,0.0,synthetic data generated inside this project,held_out_cell,increased_sensor_noise
0.01064241764095953,0.008990061978427548,0.6949723498257925,0.030433093489745766,-0.002329011909536669,1.3871157098174811,soc,ridge,42,0.0006286999996518716,7.670000195503235e-05,0.000705400001606904,-0.020386113921755378,46,0.013106948994691048,105,0.007279760749599584,0,0.0,216,0.008990061978427548,0,0.0,synthetic data generated inside this project,held_out_cell,current_sensor_bias
0.12220158396722566,0.11216533869802653,-39.217241926438966,0.1883409466818956,0.030491795399031723,17.26293902626698,soc,random_forest,42,0.11837050000031013,0.001969900000403868,0.120340400000714,-0.04655716756614703,46,0.07584333783345994,105,0.13551835874645243,0,0.0,216,0.11216533869802653,0,0.0,synthetic data generated inside this project,held_out_cell,current_sensor_bias
0.1184250871633632,0.10763555543213503,-36.76991776606395,0.17844327388381642,0.03198955737179843,16.569085712421654,soc,hist_gradient_boosting,42,0.23278170000048704,0.0032050999980128836,0.23598679999849992,-0.045267722679260824,46,0.06370753161371602,105,0.1298858045534788,0,0.0,216,0.10763555543213503,0,0.0,synthetic data generated inside this project,held_out_cell,current_sensor_bias
0.10526501650356161,0.08118934614243953,-28.841918430575706,0.4036839566959179,0.008575488552338481,12.551340472995998,soc,mlp,42,0.09516680000160704,0.00019880000036209822,0.09536560000196914,0.14994703019527467,46,0.08235744615200953,105,0.07723639559791079,0,0.0,216,0.08118934614243953,0,0.0,synthetic data generated inside this project,held_out_cell,current_sensor_bias
0.024255270276730682,0.020400172069221487,-0.5844219482186697,0.06508669998854633,-0.017742715578968324,3.155828842126094,soc,narx,42,0.04419370000323397,0.10174669999832986,0.14594040000156383,-0.009805081975409191,46,0.015979302904150578,105,0.017990672149932507,0,0.0,216,0.020400172069221487,0,0.0,synthetic data generated inside this project,held_out_cell,current_sensor_bias
0.1515555731825771,0.14876623054693858,-60.85893461436269,0.19322316460828737,-0.14876623054693858,23.00742649576593,soc,coulomb_counting,42,0.0,0.009355800000776071,0.009355800000776071,-0.1679184832834134,46,0.15921728368872254,105,0.1474233333773453,0,0.0,216,0.14876623054693858,0,0.0,synthetic data generated inside this project,held_out_cell,current_sensor_bias
0.02350766673158228,0.01798878672191118,-0.488256072759766,0.06635835094807607,-0.013729455229160446,2.8055445215833466,soc,ocv_lookup,42,0.0,6.370000119204633e-05,6.370000119204633e-05,-0.0646373341389106,46,0.04012285021920472,105,0.009044928004920611,0,0.0,216,0.01798878672191118,0,0.0,synthetic data generated inside this project,held_out_cell,current_sensor_bias
0.021950876814117143,0.016305137886946406,-0.2976643039605449,0.05102362020260609,-0.013908815011602235,2.546001938074115,soc,ekf,42,0.0,0.010112100000696955,0.010112100000696955,-0.05042539493122811,46,0.039957474087332946,105,0.006248384793014125,0,0.0,216,0.016305137886946406,0,0.0,synthetic data generated inside this project,held_out_cell,current_sensor_bias
0.010642635377641652,0.008990170486382603,0.694959868378408,0.03045082192889359,-0.0023291460092800466,1.3871328049357166,soc,ridge,42,0.0006648999988101423,7.329999789362773e-05,0.00073819999670377,-0.020386441728114435,46,0.013107652523887582,105,0.00727964545608521,0,0.0,216,0.008990170486382603,0,0.0,synthetic data generated inside this project,held_out_cell,voltage_sensor_bias
0.12309089352749669,0.11284419151666769,-39.80472560282255,0.1881753181377791,0.03134989447507898,17.367336240967063,soc,random_forest,42,0.11854740000126185,0.0016113999990921002,0.12015880000035395,-0.04670959056658419,46,0.07596708963483037,105,0.13612347450067178,0,0.0,216,0.11284419151666769,0,0.0,synthetic data generated inside this project,held_out_cell,voltage_sensor_bias
0.11667077648431465,0.10621336065765773,-35.65918365782142,0.1768027708202764,0.030980223466027176,16.350740294250006,soc,hist_gradient_boosting,42,0.24687009999979637,0.003220600003260188,0.25009070000305655,-0.04382510840984588,46,0.06261727102586305,105,0.12815323947497168,0,0.0,216,0.10621336065765773,0,0.0,synthetic data generated inside this project,held_out_cell,voltage_sensor_bias
0.106281642136701,0.08236082459643636,-29.421114810827746,0.4329124116769743,0.00821164830236846,12.73112921608213,soc,mlp,42,0.09639439999955357,0.00020220000078552403,0.0965966000003391,0.14620448363288852,46,0.0851946331724494,105,0.077979438247278,0,0.0,216,0.08236082459643636,0,0.0,synthetic data generated inside this project,held_out_cell,voltage_sensor_bias
0.024422903165747595,0.020933969468989875,-0.6063981238232132,0.06551864233474736,-0.018386199521080362,3.241131714894189,soc,narx,42,0.04234789999827626,0.10330819999944651,0.14565609999772278,-0.007878032699207838,46,0.014945849778566696,105,0.01905349992985497,0,0.0,216,0.020933969468989875,0,0.0,synthetic data generated inside this project,held_out_cell,voltage_sensor_bias
0.15019094565242874,0.1473773416580497,-59.74997683928664,0.19044538683050966,-0.1473773416580497,22.792453688281874,soc,coulomb_counting,42,0.0,0.009996799999498762,0.009996799999498762,-0.16514070550563548,46,0.15760410218423662,105,0.14603104312791218,0,0.0,216,0.1473773416580497,0,0.0,synthetic data generated inside this project,held_out_cell,voltage_sensor_bias
